"ASV","SpearmanRho","pValue","Occurrence","OccurrencePct","Kingdom","Phylum","Class","Order","Family","Genus","Species","CalcifierGeneral","CalcifierLarval","CalcifierAdult","StructureLarval","StructureAdult","MineralForm","PlanktonicLifeHistory","Removal","Description"
"4",0.861033015328216,1.29291416339596e-24,64,80,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"13",0.833719505311947,8.20209280928281e-22,54,67.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"29",0.803291422517849,3.10721313433135e-19,50,62.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"269",0.69372241467489,9.79454390604391e-13,41,51.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"197",0.68534379571061,2.33952579299708e-12,46,57.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"105",0.651409604992871,6.0284001274311e-11,46,57.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus paululus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"75",0.626757728379375,4.99581634846124e-10,74,92.5,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae",NA,NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"124",0.62049432511338,8.30315024241296e-10,22,27.5,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Corycaeidae","Farranula",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"135",0.615146088437747,1.27002593589085e-09,57,71.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"144",0.606593069938807,2.46541126561798e-09,25,31.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"67",0.601318848561493,3.6754907767832e-09,74,92.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"142",0.5787634157632,1.87364921640568e-08,24,30,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"194",0.562413566259331,5.66150374962381e-08,44,55,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus paululus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"264",0.533969846943384,3.38286400239634e-07,22,27.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"361",0.524468625664792,5.93036286482539e-07,27,33.75,"Eukaryota","Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona similis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Cyclopoid copepods"
"225",0.52245544215265,6.66486479991661e-07,57,71.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"44",0.5222707533486,6.73638855854267e-07,74,92.5,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"673",0.516184754110001,9.5426413335955e-07,18,22.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"19",0.509221486100289,1.40977688637972e-06,42,52.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Candacia curta","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"415",0.50768854542434,1.53447586546591e-06,18,22.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"27",0.486479517919205,4.75700231193883e-06,76,95,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"9",0.479887482419128,8.69129584901608e-06,80,100,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"36",0.479371776840131,8.90856119218033e-06,79,98.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"107",0.477462005889208,7.52496549722324e-06,72,90,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"109",0.472221963716373,9.76512910389935e-06,69,86.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"450",0.469618896104512,1.10971403893307e-05,34,42.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"100",0.468438763346751,1.17554390494953e-05,24,30,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Ophiocomidae","Ophiopteris","Ophiopteris papillosa","Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"182",0.464800000776676,1.40225975956283e-05,41,51.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus paululus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"89",0.461040601835668,1.67898295843682e-05,68,85,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"642",0.449681570882548,2.85673325426026e-05,14,17.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"37",0.444962785737492,3.5430291143773e-05,76,95,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"1897",0.444536479816997,3.61205582251558e-05,9,11.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"851",0.438612899544594,4.71024899274929e-05,11,13.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"126",0.429920517496844,6.89292142714662e-05,11,13.75,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Ophionereidae","Ophionereis",NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"214",0.423127223128369,9.21598289909887e-05,18,22.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1217",0.41644302939006,0.000121916610052871,24,30,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea mediterranea","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"30",0.413198148749224,0.000139362018918209,76,95,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"382",0.410354970233144,0.000156513577151632,20,25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiodia",NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"541",0.407107337905453,0.000178477084333982,26,32.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"54",0.405310521116799,0.000191816757497205,74,92.5,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora",NA,"Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"165",0.404609833464434,0.000197263195554355,52,65,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"374",0.403048117465756,0.000209918826374762,9,11.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"734",0.401911111879005,0.00021959846279115,10,12.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"114",0.401532937899991,0.00022290792063229,57,71.25,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"1635",0.400368471240049,0.00023338879612095,21,26.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae",NA,NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"32",0.396732282779215,0.000269104757350805,78,97.5,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"128",0.394591853480656,0.000292411219480605,72,90,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1803",0.390648178785611,0.000340268751985128,11,13.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"204",0.388775921475569,0.000365416325754056,47,58.75,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"69",0.387841296518482,0.000378597333261777,63,78.75,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"519",0.387208853583675,0.00038776233236274,40,50,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"230",0.386266720869396,0.000401792597237211,46,57.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
