SampleID,SeqID18S,SeqIDCO1,StationID,Agency,Station,Season,Quarter,Latitude,Longitude,avgArag,avgTA,avgDIC,avgpH,avgCTDTemp,avgCTDSalinity,avgCTDDensity,avgCTDpH,avgCTDOxygen
B1-1-2019,MP_21_18S_S33_L001,MP_21_CO1_S144_L001,ABC_1,Oxnard/ABC,1,Spring 2019,1,34.1198979,-119.4049393,1.310406111,2243.112814,2144.725744,7.818391206,11.42732558,33.72510465,25.69745349,7.86244186,144.3870297
B1-2-2019,MP_41_18S_S53_L001,MP_41_CO1_S164_L001,ABC_1,Oxnard/ABC,1,Summer 2019,2,34.1198979,-119.4049393,1.528587698,2239.774493,2115.404447,7.875580609,12.30476744,33.64946512,25.46484884,7.91,169.1258147
B1-3-2019,MP_61_18S_S73_L001,MP_61_CO1_S184_L001,ABC_1,Oxnard/ABC,1,Fall 2019,3,34.1198979,-119.4049393,1.674584443,2237.469665,2095.834902,7.914133198,13.00418605,33.59511628,25.29601163,7.99627907,184.7987447
B1-4-2020,MP_101_18S_S13_L001,MP_101_CO1_S124_L001,ABC_1,Oxnard/ABC,1,Winter 2020,4,34.1198979,-119.4049393,1.857264934,2235.859258,2073.222612,7.960355679,13.48069767,33.55174419,25.16895349,8.124186047,207.1027197
B10-1-2019,MP_30_18S_S42_L001,MP_30_CO1_S153_L001,LACSD_10,LACSD,10,Spring 2019,1,33.666505,-118.502832,1.139189239,2247.673606,2168.373423,7.774081859,10.54313953,33.80786047,25.92612791,7.817325581,126.9684067
B10-2-2019,MP_50_18S_S62_L001,MP_50_CO1_S173_L001,LACSD_10,LACSD,10,Summer 2019,2,33.666505,-118.502832,1.688506607,2237.618402,2094.196179,7.918459604,12.71313953,33.59509302,25.34125581,7.935116279,189.7724931
B10-3-2019,MP_70_18S_S82_L001,MP_70_CO1_S193_L001,LACSD_10,LACSD,10,Fall 2019,3,33.666505,-118.502832,1.700638723,2237.724693,2093.592675,7.918027661,13.12011628,33.59773256,25.27331395,8.061511628,186.3857066
B10-4-2020,MP_110_18S_S22_L001,MP_110_CO1_S133_L001,LACSD_10,LACSD,10,Winter 2020,4,33.666505,-118.502832,1.77206189,2237.927688,2086.036912,7.933465289,13.3294186,33.59243023,25.22966279,8.009651163,193.7626703
B11-1-2019,MP_31_18S_S43_L001,MP_31_CO1_S154_L001,LACSD_11,LACSD,11,Spring 2019,1,33.594089,-118.398321,1.130884648,2249.315929,2170.482617,7.771910732,10.35755814,33.8337907,25.97854651,7.712790698,127.3898357
B11-2-2019,MP_51_18S_S63_L001,MP_51_CO1_S174_L001,LACSD_11,LACSD,11,Summer 2019,2,33.594089,-118.398321,1.527624154,2239.426792,2114.445718,7.879429087,12.16302326,33.6430814,25.49102326,8.003837209,172.0204172
B11-3-2019,MP_71_18S_S83_L001,MP_71_CO1_S194_L001,LACSD_11,LACSD,11,Fall 2019,3,33.594089,-118.398321,1.777608818,2239.025717,2089.120464,7.920298061,13.78476744,33.61498837,25.1415,8.073023256,184.2051413
B11-4-2020,MP_111_18S_S23_L001,MP_111_CO1_S134_L001,LACSD_11,LACSD,11,Winter 2020,4,33.594089,-118.398321,1.772726868,2238.007075,2086.339669,7.932250476,13.38151163,33.59440698,25.22054651,7.99244186,192.7962833
B12-1-2019,MP_32_18S_S44_L001,MP_32_CO1_S155_L001,LACSD_12,LACSD,12,Spring 2019,1,33.556814,-118.275623,1.102356784,2249.060053,2173.61265,7.764615118,10.33011628,33.83089535,25.98237209,7.784302326,123.4534113
B12-2-2019,MP_52_18S_S64_L001,MP_52_CO1_S175_L001,LACSD_12,LACSD,12,Summer 2019,2,33.556814,-118.275623,1.508549395,2238.831022,2114.94181,7.880640858,12.01988372,33.63723256,25.51973256,7.967790698,173.1342825
