Order,CalcifierGeneral,CalcifierLarval,CalcifierAdult,StructureLarval,StructureAdult,MineralForm,PlanktonicLifeHistory,Removal,Description
Acochlidiacea,No,No,No,None,None,None,Benthic,No,Shell-less freshwater and marine gastropods
Actiniaria,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Sea anemones
Adapedonta,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Burrowing clams
Amphilepidida,Yes,Yes,Yes,Internal skeleton,Internal skeleton,Calcite,Meroplanktonic,No,Brittle stars
Amphipoda,Variable,Yes,Yes,Exoskeleton,Exoskeleton,Chitin + Calcium,Benthic + Holoplanktonic,No,Amphipods
Anthoathecata,No,No,No,None,None,None,Benthic + Holoplanktonic,No,Colonial hydroids and small medusae
Aphragmophora,No,No,No,None,None,None,Holoplanktonic,No,Chaetognaths (arrow worms)
Aplustridae,Yes,Yes,Yes,External shell,External shell,Aragonite,Meroplanktonic,No,Bubble snails
Aplysiida,Yes,Yes,No,External shell,Internal shell,Aragonite,Meroplanktonic,No,Sea hares
Archinemertea,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Ribbon worms (marine benthic)
Argentiniformes,No,No,No,None,None,None,Meroplanktonic,No,Deep-sea smelts and related fish
Aulopiformes,No,No,No,None,None,None,Meroplanktonic,No,Lizardfish and deep-sea teleosts
Balanomorpha,Yes,Yes,Yes,External shell,External shell,Calcite,Meroplanktonic,No,Barnacles
Biemnida,No,No,No,None,None,None,Meroplanktonic,No,Marine sponges
Blenniiformes,No,No,No,None,None,None,Meroplanktonic,No,Blennies and combtooth fishes
Calanoida,Variable,Variable,Variable,Exoskeleton,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Copepods
Camarodonta,Yes,Yes,Yes,Internal skeleton,Exoskeleton,Calcite,Meroplanktonic,No,Sea urchins
Capitellidae,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Marine bristle worms (mud-dwelling)
Cardiida,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Clams
Cephalaspidea,Variable,Yes,Yes,External shell,External shell,Aragonite,Meroplanktonic,No,Bubble snails
Cestida,No,No,No,None,None,None,Holoplanktonic,No,Ribbon comb jellies
Chaetopteridae,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Tube-dwelling marine polychaetes
Cheilostomatida,Yes,Yes,Yes,External shell,External shell,Calcite,Meroplanktonic,No,Encrusting bryozoans
Clupeiformes,No,No,No,None,None,None,Meroplanktonic,No,Anchovies and herrings
Clypeasteroida,Yes,Yes,Yes,Exoskeleton,Exoskeleton,Calcite,Meroplanktonic,No,Sand dollars
Corallimorpharia,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Soft-bodied coral relatives
Cyclopoida,Variable,Variable,Variable,Exoskeleton,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Cyclopoid copepods
Cydippida,No,No,No,None,None,None,Holoplanktonic,No,Comb jellies (round-bodied ctenophores)
Decapoda,Variable,No,Variable,None,Exoskeleton,Calcite,Meroplanktonic,No,"Crabs, lobsters, shrimp"
Dendrochirotida,Yes,Yes,Yes,Internal skeleton,Internal skeleton,Calcite,Meroplanktonic,No,Sea cucumbers
Ellobiida,Variable,Yes,Variable,External shell,Variable,Aragonite,Meroplanktonic,No,Salt marsh snails
Enchytraeida,No,No,No,None,None,None,Benthic + Freshwater,No,Potworms (small oligochaetes)
Epitoniidae,Yes,Yes,Yes,External shell,External shell,Aragonite,Meroplanktonic,No,Wentletraps (small predatory snails)
Eunicida,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Marine bristle worms (polychaetes)
Euphausiacea,Variable,No,Variable,None,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Krill
Forcipulatida,Yes,Yes,Yes,Internal skeleton,Internal skeleton,Calcite,Meroplanktonic,No,Starfish
Gadiformes,No,No,No,None,None,None,Meroplanktonic,No,Cods and grenadiers
Galeommatida,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Small clams and bivalves
Gobiiformes,No,No,No,None,None,None,Meroplanktonic,No,Gobies and dartfish
Golfingiida,No,No,No,None,None,None,Benthic,No,Peanut worms (sipunculans)
Halocyprida,Variable,No,Variable,None,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Ostracods (seed shrimp)
Harpacticoida,Variable,Variable,Variable,Exoskeleton,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Harpacticoid copepods
Heteronemertea,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Ribbon worms (marine benthic)
Hubrechtidae,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Ribbon worms (marine nemerteans)
Isopoda,Variable,No,Variable,None,Exoskeleton,Chitin + Calcium,Benthic + Meroplanktonic,No,Isopods
Lepadidae,Yes,Variable,Yes,External shell,External shell,Chitin + Calcium,Meroplanktonic,No,Goose barnacles
Lepidopleurida,Variable,No,Yes,None,External shell,Aragonite,Meroplanktonic,No,Primitive chitons
Leptothecata,No,No,No,None,None,None,Benthic + Holoplanktonic,No,Hydroids
Limapontiidae,Variable,Variable,No,External shell,None,Aragonite,Meroplanktonic,No,Sap-sucking sea slugs
Littorinimorpha,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Periwinkles and related snails
Lutjaniformes,No,No,No,None,None,None,Meroplanktonic,No,Snappers and grunts
Maldanidae,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Bamboo worms (tube-dwelling polychaetes)
Monostilifera,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Ribbon worms (with a single stylet)
Myctophiformes,No,No,No,None,None,None,Meroplanktonic,No,Lanternfishes
Myopsida,Variable,Yes,No,Statoliths,None,Aragonite,Meroplanktonic,No,Coastal squid
Mytilida,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Mussels
Narcomedusae,No,No,No,None,None,None,Holoplanktonic,No,Deep-sea jellyfish
Neogastropoda,Yes,Yes,Yes,External shell,External shell,Aragonite/Calcite,Meroplanktonic,No,Whelks and predatory snails
Nudibranchia,Variable,Variable,No,External shell,None,Aragonite,Meroplanktonic,No,Shell-less sea slugs
Octopoda,Variable,Yes,No,Statoliths,None,Aragonite,Meroplanktonic,No,Octopi
Oegopsida,Variable,Yes,No,Statoliths,None,Aragonite,Meroplanktonic,No,Squid
Opheliidae,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Marine polychaete worms
Paxillosida,Variable,No,Yes,None,Internal skeleton,Calcite,Meroplanktonic,No,Starfish without suckers
Pempheriformes,No,No,No,None,None,None,Meroplanktonic,No,Sweepers and related reef fish
Pennatulacea,Variable,No,Variable,None,Internal skeleton,Calcite,Meroplanktonic,No,Sea pens and sea pansies
Perciformes,No,No,No,None,None,None,Meroplanktonic,No,Perch-like fishes (most diverse fish group)
Phascolosomatiformes,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Peanut worms (marine unsegmented worms)
Phlebobranchia,No,No,No,None,None,None,Meroplanktonic,No,Sea squirts (tunicates)
Phoronidae,Yes,Yes,Yes,External tube,External tube,Chitin + Calcium,Meroplanktonic,No,Horseshoe worms (tube-dwelling lophophorates)
Phyllodocida,No,No,No,None,None,None,Benthic + Meroplanktonic,No,Active marine polychaetes
Plakobranchidae,Variable,Variable,No,External shell,None,Aragonite,Meroplanktonic,No,Sacoglossan sea slugs (sap-sucking)
Pleuronectiformes,No,No,No,None,None,None,Meroplanktonic,No,"Flatfishes (flounders, soles, halibut)"
Poecilostomatoida,Variable,Variable,Variable,Exoskeleton,Exoskeleton,Chitin + Calcium,Holoplanktonic,No,Parasitic or predatory copepods
Pollicipedomorpha,Variable,Variable,Yes,Exoskeleton,Exoskeleton,Chitin + Calcium,Meroplanktonic,No,Stalked barnacles
