"ASV","B1-1-2019","B1-2-2019","B1-3-2019","B1-4-2020","B10-1-2019","B10-2-2019","B10-3-2019","B10-4-2020","B11-1-2019","B11-2-2019","B11-3-2019","B11-4-2020","B12-1-2019","B12-2-2019","B12-3-2019","B12-4-2020","B13-1-2019","B13-2-2019","B13-3-2019","B13-4-2020","B14-1-2019","B14-2-2019","B14-3-2019","B14-4-2020","B15-1-2019","B15-2-2019","B15-3-2019","B15-4-2020","B16-1-2019","B16-2-2019","B16-3-2019","B16-4-2020","B17-1-2019","B17-2-2019","B17-3-2019","B17-4-2020","B18-1-2019","B18-2-2019","B18-3-2019","B18-4-2020","B19-1-2019","B19-2-2019","B19-3-2019","B19-4-2020","B2-1-2019","B2-2-2019","B2-3-2019","B2-4-2020","B20-1-2019","B20-2-2019","B20-3-2019","B20-4-2020","B3-1-2019","B3-2-2019","B3-3-2019","B3-4-2020","B4-1-2019","B4-2-2019","B4-3-2019","B4-4-2020","B5-1-2019","B5-2-2019","B5-3-2019","B5-4-2020","B6-1-2019","B6-2-2019","B6-3-2019","B6-4-2020","B7-1-2019","B7-2-2019","B7-3-2019","B7-4-2020","B8-1-2019","B8-2-2019","B8-3-2019","B8-4-2020","B9-1-2019","B9-2-2019","B9-3-2019","B9-4-2020"
"1",0.0116181995269236,0.0937466803583443,0.0022829421416851,0.0973001939369195,0.207901208168502,0.0425543688783133,0.0699020915330319,0.00527610282450016,0.624482326880478,0.0323848106208512,0.000475722305033142,0.100113262797315,0.309765705992121,0.0239824408508441,0.00144828111898773,0.195391903531438,0.791269204481293,0.0381018358157257,0.328458094032902,0.371663157894737,0.0655460408076964,0.0878993863004651,0.00625031503604012,0.109534196647983,0.342737883589704,0.0282315947774968,0.00602356665494196,0.243934065934066,0.207812809835415,0.283910386965377,0.00205922729947048,0.226515702364877,0.510616680156366,0.00641046932607035,0.000161368404066484,0.0667566612027127,0.292601085893501,0.284938293064488,0.000353996224040277,0.0491570408582857,0.655669239514151,0.304406309868341,0,0.0234821715387086,0.0665368386887374,0.0216918152720622,0.00430248167142808,0.022057963556408,0.180537004691942,0.43892813776355,0.000152316295667689,0.0716115579386357,0.0835756659299756,0.0239218552727756,0.00414350682162708,0.0392868374579674,0.0320669999681559,0.0699164162077968,0.00267426567295046,0.0216405605935697,0.158895009040071,0.0664600715137068,0.00202892669777688,0.252265156562292,0.127967953386744,0.00896791249805609,0.0131901113656109,0.406078826017172,0.0489909330213513,0.0604692434167602,0.00631446011366028,0.361163729940312,0.0482949441230371,0.0487832022555275,0.0062244763535766,0.376595927485179,0.344453881433667,0.0224224499621707,0.0375996961640714,0.0609972107416984
"2",0.167907332684013,0.0982082787436706,0.00991652992794464,0.0279932632438502,0.079707045867636,0.0919428919262907,0.0143772566112611,0.0244763567121549,0.0136440977238435,0.0713588442014838,0.00374234879959405,0.00944777480040885,0.091478332987767,0.0691391498014912,0.00403994206875524,0.0225236864771748,0.000802353570473389,0.0534811222722549,0.0265015088095006,0.037978947368421,0.013179687775311,0.0758180367118915,0.018650133575281,0.0229174144738659,0.0483110458375203,0.0764577209652061,0.00923320436158987,0.0606593406593407,0.0463018044814595,0.0136003620728672,0.00745244165522652,0.0372909525293445,0.0408307358487317,0.037001361809546,0.0204937873164434,0.0231414521261209,0.0698243010825212,0.0332869807057188,0.0315449968533669,0.0664274232738963,0.0298928977442709,0.0499327436514083,0.00457299380208454,0.0341150016061677,0.0470127081616858,0.092400548696845,0.0893539393522184,0.0884423756169446,0.0428953046337203,0.0455348272436251,0.00663663859694932,0.00756627941614537,0.0902349656857043,0.03725164462755,0.0862725282129021,0.0236108087185814,0.0757252491800147,0.0546475659785446,0.0639193336256028,0.023220665017862,0.0486902409283942,0.0953992848629321,0.0345787078635402,0.0275816122584943,0.082774945375091,0.106604115908973,0.0589605876313087,0.0087131538049986,0.0928999707516818,0.0530573896703813,0.00926120816670175,0.0163694199220844,0.0370476840705739,0.0297150912598308,0.0100777236200764,0.00829968210327348,0.0834720570749108,0.0590824678451063,0.0112250495843356,0.0137834151108577
"3",0.138861833866704,0.100563011224815,0.0271099379325105,0.017760538940492,0.0608628247621084,0.0752310331470312,0.00588751911004131,0.0212234211361473,0.0182670390702751,0.0672100741897696,0.0107830389140846,0.0157739164065306,0.0688990255027991,0.0618766340660405,0.0142160225626953,0.0121016365202412,0.00187215833110457,0.056252164877035,0.0223401148642071,0.0377263157894737,0.0167389082707827,0.0636541266477695,0.0281768234286002,0.028053124223431,0.0378758599366159,0.0790211224280539,0.0120471333098839,0.0523076923076923,0.0375107409610681,0.0151391717583164,0.0119631300254952,0.0381565735258474,0.0486662418846545,0.0313880492908626,0.00968210424398903,0.0210522932536239,0.0757090344990389,0.0352424821832088,0.0339443045940843,0.0607080109154798,0.0258361754322982,0.0390494436065707,0.017131316882936,0.0272406039190491,0.0557511297530772,0.101289437585734,0.107802980759302,0.072629880002807,0.0273810746943388,0.0320675571255105,0.00411253998302761,0.0112004766160262,0.0819471908805397,0.0668748754070038,0.0487788445342766,0.0370854198417882,0.0746107059835048,0.0477151569664129,0.0395440596229724,0.0099615278922781,0.0338477063448682,0.0764719904648391,0.0413321353004261,0.0268820786142572,0.0695557174071377,0.104634285418071,0.0314746070610536,0.013579271865685,0.0817856098274349,0.0599733799618968,0.00648284571669122,0.033775331498624,0.0631715117323655,0.034092595340555,0.0071136872612304,0.021616977403557,0.0605062001019195,0.0386546530022698,0.00219437059543402,0.0161247633202354
"4",0,0.00825041606175419,0.0712705999857316,0.107252220067368,0,0.015356095401472,0.0107016231337215,0.172445255474453,0,0.0118117922686451,0.0650788113285338,0.0372109726788033,0,0.0475129918337045,0.0226389206494397,0.0819982773471146,0.000118867195625687,0.00332525112573606,0.0478925338265356,0.0127578947368421,0,0.0167597765363128,0.280810524724028,0.018996603804843,0,0.00837377811196938,0.275633134013366,0.0110989010989011,6.60982219578293e-05,0.0219959266802444,0.095067660325554,0.0192167861223642,0,0.0184342511708241,0.164111666935614,0.104586507247774,0,0.000434555883886668,0.102068911264947,0.0318118948824343,0,0,0.061050627916154,0.0784452296819788,4.99338376650938e-05,0.0267032464563329,0.0259525694420542,0.00900563729503403,0,0.000248371784965228,0.19448615009683,0.0815311289842121,5.81598231941375e-05,0.00631271180809356,0.0196395485935658,0.0626073493480417,0,0.00914814733562951,0.0747040771591407,0.0820967298708436,0.000126140520539881,0.000905840286054827,0.0496507347613113,0.022051965356429,0.000473415877640204,0,0.114130005528789,0.0322284782553311,0,0.00015658845943054,0.138833929699011,0.0164409021051503,3.59337381867836e-05,0,0.0824660782505599,0.0275796889767162,0,0.00773780865258959,0.125965312064818,0.0867316814952053
"5",0.128878530680395,0.0745016111327503,0.0109153171149319,0.0370776768398489,0.0607291778039132,0.0592108903768469,0.00374068893731906,0.0132497619803237,0.0222158014703522,0.0514935572042171,0.00789699026355016,0.00820464653719716,0.0589881816296911,0.0605855201575159,0.0047640826282491,0.0142118863049096,0.00133725595078898,0.045410460685833,0.013092572763555,0.0348631578947368,0.0208619656764281,0.0523708616561631,0.0192550027723172,0.0212055112240108,0.038107752956636,0.0676737986191811,0.00962891311994372,0.033010989010989,0.0423359111639897,0.0123557365919891,0.0208864483232006,0.0328935978671099,0.0471508033546298,0.0482279868469127,0.0110537356785541,0.021277279593739,0.0640070144673389,0.0244437684686251,0.0157331655129012,0.0325221487047213,0.019757075330581,0.0432478702156279,0.0102137932635391,0.0385480244137488,0.0297855341672284,0.0712208504801097,0.0241283172133687,0.06526163130687,0.0273810746943388,0.0288111270559664,0.00456948887003068,0.00589812332439678,0.078254042107712,0.0142202139677055,0.0336533602829712,0.0191837820838474,0.044263286947107,0.0417918961016168,0.0354230600613766,0.0166025464871302,0.0283816171214733,0.0548748510131108,0.0460566360395351,0.0349100599600266,0.0589220684632192,0.075657042144005,0.0535107811389306,0.00985962141091947,0.0722799064053817,0.0464545762977269,0.0044201220795622,0.00167983130204796,0.0555176254985806,0.02507790473364,0.00648794625214069,0.00783572471861844,0.0538134873449975,0.0318797716486691,0.0128286280963835,0.0210517743347517
"7",0.0576040072352859,0.0408094614213378,0.0368124420346722,0.0137542104725937,0.030578424035069,0.0322062973825466,0.00657060143772566,0.00650587115201523,0.00388455488137661,0.0300663803201874,0.00183945957946148,0.00129837840824332,0.0266017001866058,0.0128143055421065,0.0125771781385776,0.00374677002583979,0.00193159192891742,0.0226879113266366,0.00997761121386158,0.0155368421052632,0.00570884871550904,0.0192090706442469,0.00917384948838147,0.0085871275920148,0.0154208858313365,0.027923986601955,0.0057597608160394,0.0334945054945055,0.0165576046004362,0.00248925096175605,0.0104432241616003,0.0165160486132752,0.0169970207856171,0.0171056564918457,0.00476036791996127,0.00764953556391219,0.0247529760901089,0.0122979315139927,0.0213971050975456,0.0275129901685918,0.0101597558786573,0.0155708637345616,0.0139511130713341,0.00369418567298426,0.01999850198487,0.028824874256973,0.0395484115237669,0.0331220322331641,0.0137504709065379,0.00985208080362071,0.00282873120525709,0.00491510277033065,0.035535651971618,0.0541564223536448,0.0266464544382685,0.0118779785664175,0.0375441836767188,0.0175065265559529,0.0160894344585708,0.00103050288540808,0.0125299583736282,0.0256972586412396,0.015941566911104,0.014257161892072,0.021959213401311,0.0407703073972319,0.0209699075902377,0.00450943924995542,0.0309300965194501,0.0197562439648198,0.00159966322879394,0.00704099503198828,0.0330590391318409,0.00853242320819113,0.00200895797655118,0.00649540338517055,0.0263291999320537,0.0240731824747232,0.00177237625015825,0.00777734796506301
"8",0.00455683873660776,0.0557345703055841,0.00492259399300849,0.00459324282943758,0.0155030471506469,0.0278069835648276,0.00689587873662297,0.00706125039669946,0.00452663006838101,0.0192795782897306,0.0172528622625353,0.0148899140860245,0.000850093302923492,0.0412188115296472,0.0200853723606982,0.0117140396210164,0,0.0468306200207828,0.00754404750316363,0.0096,0.0019381893787222,0.0313179403913367,0.00720802459801401,0.00734461716873292,0.00197109067017083,0.0885569758698476,0.0247098135772072,0.00738461538461538,0,0.0141208418194162,0.0180427534810747,0.0119455697517399,0.00390914257176807,0.0287972896668549,0.00710020977892529,0.0247163565069264,0.00195595723872795,0.0141230662263167,0.00629326620516048,0.0278868079697955,0.00173517621013582,0.0425549260180165,0.00499083079922932,0.0174751044008995,0.0190497590692333,0.0332876085962506,0.0122534678002272,0.0124207620874366,0.00107880406863249,0.00935533723369025,0.00543986770241748,0.023503127792672,0.00942189135745027,0.0197754003588278,0.0316321374431531,0.0190386336695938,0.0273222303601567,0.0581795844942193,0.0120561157387111,0.0138774388568288,0.0114367405289492,0.00419547079856973,0.00843453812932959,0.01072618254497,0.00243991260014567,0.00627235498418952,0.0085696232525077,0.0117704007541209,0.00701959637320854,0.00649842106636741,0.00181014523258261,0.00193001894277851,0.0080850910920263,0.00296779937676213,0.00579633776840996,0.0032992525131025,0.00771190759300153,0.0494875851158952,0.00995906654850825,0.0179774823380907
"9",0.00473076387922638,0.00143408519528345,0.00570735535421274,0.00918648565887517,0.0130172137282155,0.00309888772065741,0.0255993234232183,0.00757695969533481,0.00330668721307265,0.00419757907067552,0.0264818749801782,0.0369070968811293,0.00400165871863985,0.00409928665956554,0.0313286073633661,0.0181739879414298,0.0023179103147009,0.0030827848978178,0.028497031052273,0.00576842105263158,0.00740035944603024,0.00509122932548091,0.0409798880991986,0.00872518430571279,0.00030919069336013,0.00416979971289904,0.00518818149841717,0.00232967032967033,0.000231343776852403,0.000678886625933469,0.0113257501470877,0.0077559641286659,0.000516626771599304,0.00179360281662072,0.0181539454574794,0.0211487159708161,0.0111793073213503,0.0102120632713367,0.110486154814349,0.020746887966805,0.00326691796804882,0.00619573635511352,0.0651361452215697,0.00398329585608738,0.010361271315507,0.00599908550525835,0.00199635149554263,0.00559051250263152,0.00125004280968526,0.0145435478529639,0.0592292795439215,0.00396187071790289,0.00881121321391183,0.0439630540235232,0.0154960417719387,0.0102087718025014,0.0020061777537178,0.00789768115306145,0.0392371766768961,0.0103050288540808,0.0224109658159189,0.0123480333730632,0.058143242224863,0.00423051299133911,0.0234522942461763,0.0088383183868125,0.0736513703498934,0.0179358487681842,0.0269450131617432,0.00480204608920323,0.03401389181225,0.0156545980914257,0.00474325344065543,0.0140228520552011,0.0150836516927941,0.0089182919494802,0.00944453881433667,0.0105234197675218,0.109085538253787,0.0207260215404035
"11",0.00441769862251287,0.0019298183492086,0.0102732396375829,0.0322547718689395,0.00887415802416337,0.00835592938962979,0.0105715122141626,0.0105125357029514,0.00243988571061671,0.00241604841858649,0.00520123053502902,0.0200005525014503,0.0100352477710968,0.0119750815015655,0.00613613842518485,0.0117140396210164,0.00196130872782384,0.0144094215448563,0.00893117881826146,0.0104842105263158,0.000951474785918173,0.00817348707928558,0.0139119915318312,0.00635060883010741,0.00239622787354101,0.00922824526625196,0.00312170242701372,0.00424175824175824,0.024390243902439,0.031183525684544,0.00313787017062169,0.0167930473321561,0.000998811758425322,0.0199621350516491,0.0136356301436179,0.00549609487995372,0.00819478636225677,0.01629584564575,0.0058606041535557,0.0688198572015999,0.00180697660503799,0.0279623364447887,0.0198704705308851,0.00443302280758111,0.00416947544503533,0.0038957475994513,0.00230613017588545,0.00676007578770087,0.00154114866947498,0.028121205431063,0.0105968622843092,0.00515341078343759,0.0269570780504827,0.00320287062263273,0.00151591712986357,0.00786220577206861,0.0223863962041843,0.0155321062676875,0.0056554142919772,0.00778602180086104,0.00084093680359921,0.0581168057210965,0.00313034404799861,0.01072618254497,0.00528040786598689,0.0135037063915816,0.0060026854118948,0.0183944358105526,0.00866481427317929,0.0119529190698646,0.00223110924015997,0.0580435326494871,0.0154515074203169,0.0125018548746105,0.00181135555262811,0.00914167883838818,0.00248004076779344,0.0255175734232065,0.033548550449424,0.0368915039599324
"12",0.00306108251008766,0.00702878793243865,0.0114147107084255,0.0066346840869654,0.00149684593178659,0.0090199767583421,0.0259246007221156,0.0037289749285941,0.0053292240521365,0.00827313549394768,0.0307950905458121,0.0551672698140833,0.0450134770889488,0.0138794745166392,0.0192468938181264,0.0217054263565891,0.00109952155953761,0.0198475926567371,0.00549985398617736,0.00951578947368421,0.0112062585897029,0.00938437405399455,0.0105348051817128,0.00240218681834498,0.00235757903687099,0.0136031170961788,0.00378121702427014,0.0135824175824176,0.00310661643201798,0.00477483593573207,0.00505000980584428,0.0124995671895017,0.0050285005768999,0.0193310525791344,0.00992415685008875,0.00890303088741041,0.0107409031126699,0.015839561967669,0.00456261799874135,0.00399985047287952,0.00168730928020104,0.0163045693555619,0.00181062698762738,0.00459363957597173,0.0051681521983372,0.00261545496113397,0.0240594775066258,0.0107833734883395,0.00140415767663276,0.00888619052875593,0.00235002284744435,0.00247244563598451,0.0177969058974061,0.0146189115555851,0.00916287687384201,0.016692067639161,0.0189790784319969,0.0107934975758506,0.0157387110916265,0.00989282769991756,0.00533994870285498,0.0174493444576877,0.0377090519115388,0.0164223850766156,0.00637290604515659,0.00505417033849982,0.0257483611089171,0.021171435122672,0.0141123135419713,0.00712477490408957,0.0183961271311303,0.0245898709746596,0.0167810557332279,0.0288989464312212,0.00744302463443552,0.00860898702637684,0.0279259385085782,0.0182268381594333,0.0270920369667046,0.0112995500539528
