"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CalcifierGeneral","CalcifierLarval","CalcifierAdult","StructureLarval","StructureAdult","MineralForm","PlanktonicLifeHistory","Removal","Description"
"1","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia pacifica","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"2","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4","Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"5","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"7","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"8","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Ctenocalanus","Ctenocalanus vanus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"9","Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"11","Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma borealis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"12","Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Discoconchoecia",NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"13","Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"19","Eukaryota","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Candacia curta","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"21","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Sphaeronectidae",NA,NA,"No","No","No","None","None","None","Holoplanktonic","No","Colonial hydrozoans (e.g., Portuguese man o' war)"
"22","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"23","Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"26","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"27","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"28","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda","Hermissenda opalescens","Variable","Variable","No","External shell","None","Aragonite","Meroplanktonic","No","Shell-less sea slugs"
"29","Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"30","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"31","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Ctenocalanus","Ctenocalanus vanus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"32","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"33","Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"34","Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. C AC_2013","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"35","Eukaryota","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Acartia tonsa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"36","Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"37","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"38","Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus","Calocalanus tenuis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"39","Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"41","Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Discoconchoecia",NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"42","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"44","Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"45","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora",NA,"Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"50","Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"54","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora",NA,"Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"55","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia","Hansarsia difficilis","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"56","Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"57","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Ctenocalanus","Ctenocalanus vanus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"59","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia","Hansarsia difficilis","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"61","Eukaryota","Echinodermata","Echinoidea","Temnopleuroida","Toxopneustidae","Lytechinus","Lytechinus pictus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Short-spined sea urchins"
"64","Eukaryota","Echinodermata","Echinoidea","Temnopleuroida","Toxopneustidae","Lytechinus","Lytechinus pictus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Short-spined sea urchins"
"67","Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"68","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"69","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"70","Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"73","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"74","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus stilbius","No","No","No","None","None","None","Meroplanktonic","No","Deep-sea smelts and related fish"
"75","Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae",NA,NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"76","Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma borealis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"77","Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"79","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda",NA,"Variable","Variable","No","External shell","None","Aragonite","Meroplanktonic","No","Shell-less sea slugs"
